Model,Type,Accuracy,AUC,Score
gru (DL),Deep Learning,97.50552573413324,0.9554459919898368,0.9632896981304351
lstm (DL),Deep Learning,97.46342490264183,0.9519757228536054,0.9610391333227306
hybrid (DL),Deep Learning,97.44763709083254,0.9504614781033324,0.9600674352253296
Logistic Regression (ML),Traditional ML,90.0,1.0,0.96
Random Forest (ML),Traditional ML,90.0,0.9895833333333334,0.9537500000000001
SVM (ML),Traditional ML,90.0,0.9895833333333334,0.9537500000000001
cnn2d (DL),Deep Learning,96.67403431217767,0.9441389390169271,0.953179500658867
resnet (DL),Deep Learning,96.48458057046626,0.9405823273502842,0.9502877186920357
cnn1d (DL),Deep Learning,95.87411851384064,0.9202533320137906,0.9356484732636369
XGBoost (ML),Traditional ML,90.0,0.9583333333333331,0.9349999999999998
Gradient Boosting (ML),Traditional ML,80.0,0.9583333333333331,0.8949999999999999
