audio_path,session,channel,plant_id,species,genotype,recording_time,last_watering_time,hours_since_watering,days_since_watering,session_dir,treatment,soil_sensors,sowing,transplant,water_stress,water_status,hours_normalized,days_normalized,hour,time_bin,sensor_humidity,sensor_voltage,sensor_wifi_rssi,sensor_co2,sensor_light,sensor_soil_temp,sensor_soil_moisture,sensor_soil_ph,sensor_time,sensor_delta_minutes,sensor_source
data/PUA.02/audiofiles/PUA076/ch2PUA_2025-02-05_05-44-50.wav,PUA076,ch2,#70,Nicotiana benthamiana,wt,2025-02-05 05:44:50,2025-01-30 15:48:58,133.9311111111111,5.5804629629629625,PUA.02,,"ph1,temphum1",,2024-12-23_12-00-00,1,stressed,0.331839836582549,0.331839836582549,5,132-144h,37.5082,,,,2172.0,,,,2025-02-05 05:46:45,1.9166666666666667,sensor1
data/PUA.02/audiofiles/PUA076/ch2PUA_2025-02-05_08-54-56.wav,PUA076,ch2,#70,Nicotiana benthamiana,wt,2025-02-05 08:54:56,2025-01-30 15:48:58,137.09944444444446,5.712476851851853,PUA.02,,"ph1,temphum1",,2024-12-23_12-00-00,1,stressed,0.3396899858633994,0.3396899858633994,8,132-144h,,,,,,,,,2025-02-05 08:47:17,7.65,sensor1
data/PUA.02/audiofiles/PUA076/ch3PUA_2025-02-03_00-46-11.wav,PUA076,ch3,#71,Nicotiana benthamiana,wt,2025-02-03 00:46:11,2025-01-30 15:48:58,80.95361111111112,3.37306712962963,PUA.02,,,,2024-12-23_12-00-00,1,stressed,0.200577990125027,0.200577990125027,0,72-84h,40.441,,,,0.15,,,,2025-02-03 00:46:34,0.38333333333333336,sensor2
data/PUA.02/audiofiles/PUA076/ch3PUA_2025-02-06_09-39-48.wav,PUA076,ch3,#71,Nicotiana benthamiana,wt,2025-02-06 09:39:48,2025-01-30 15:48:58,161.84722222222223,6.74363425925926,PUA.02,,,,2024-12-23_12-00-00,1,stressed,0.4010073188223262,0.4010073188223262,9,156-168h,35.5108,,,,11598.9004,,,,2025-02-06 09:46:56,7.133333333333334,sensor2
data/PUA.02/audiofiles/PUA076/ch2PUA_2025-02-05_01-18-30.wav,PUA076,ch2,#70,Nicotiana benthamiana,wt,2025-02-05 01:18:30,2025-01-30 15:48:58,129.4922222222222,5.395509259259259,PUA.02,,"ph1,temphum1",,2024-12-23_12-00-00,1,stressed,0.3208416439200917,0.3208416439200917,1,120-132h,,,,,,,,,2025-02-05 01:17:12,1.3,sensor1
data/PUA.02/audiofiles/PUA076/ch2PUA_2025-02-01_12-06-48.wav,PUA076,ch2,#70,Nicotiana benthamiana,wt,2025-02-01 12:06:48,2025-01-30 15:48:58,44.297222222222224,1.8457175925925928,PUA.02,,"ph1,temphum1",,2024-12-23_12-00-00,0,adequate,0.1097548049988781,0.1097548049988781,12,36-48h,,4.0589,,,,,,,2025-02-01 12:15:02,8.233333333333333,sensor1
data/PUA.02/audiofiles/PUA076/ch3PUA_2025-02-03_21-18-26.wav,PUA076,ch3,#71,Nicotiana benthamiana,wt,2025-02-03 21:18:26,2025-01-30 15:48:58,101.49111111111112,4.228796296296296,PUA.02,,,,2024-12-23_12-00-00,1,stressed,0.2514635579910335,0.2514635579910335,21,96-108h,,,,,,,,,2025-02-03 21:17:16,1.1666666666666667,sensor2
data/PUA.02/audiofiles/PUA076/ch3PUA_2025-02-05_04-43-48.wav,PUA076,ch3,#71,Nicotiana benthamiana,wt,2025-02-05 04:43:48,2025-01-30 15:48:58,132.9138888888889,5.538078703703704,PUA.02,,,,2024-12-23_12-00-00,1,stressed,0.3293194747846818,0.3293194747846818,4,132-144h,39.3164,,,,0.15,,,,2025-02-05 04:46:44,2.933333333333333,sensor2
data/PUA.02/audiofiles/PUA076/ch4PUA_2025-01-31_17-52-19.wav,PUA076,ch4,#72,Solanum lycopersicum,Micro Tom,2025-01-31 17:52:19,2025-01-30 15:48:58,26.05583333333333,1.0856597222222222,PUA.02,,"ph2,temphum2",,2024-12-02_12-00-00,0,adequate,0.0645582897328636,0.0645582897328636,17,24-36h,,,,,,,,,2025-01-31 17:46:44,5.583333333333333,sensor2
data/PUA.02/audiofiles/PUA076/ch3PUA_2025-02-05_22-23-41.wav,PUA076,ch3,#71,Nicotiana benthamiana,wt,2025-02-05 22:23:41,2025-01-30 15:48:58,150.57861111111112,6.2741087962962965,PUA.02,,,,2024-12-23_12-00-00,1,stressed,0.3730871885508676,0.3730871885508676,22,144-156h,,,,,,,,,2025-02-05 22:17:24,6.283333333333333,sensor2
